feature,xgb_importance,corr_with_target,zero_count,zero_rate,na_count,rank,flag_low_importance,flag_high_zero,flag_removal_candidate
R_last3_win_rate,0.023232,0.1224,211,0.052,0,1,False,False,False
last5_won_dif,0.019706,0.1772,1052,0.259,0,2,False,False,False
B_Str_Acc,0.017043,-0.1364,82,0.0202,0,3,False,False,False
SApM_dif,0.01666,-0.1927,25,0.0062,0,4,False,False,False
career_win_rate_dif,0.015222,0.1889,88,0.0217,0,5,False,False,False
SLpM_dif,0.014557,0.1552,17,0.0042,0,6,False,False,False
B_age,0.014015,0.113,0,0.0,0,7,False,False,False
B_elo_trend,0.013733,-0.0772,1592,0.392,0,8,False,False,False
B_avg_SUB_ATT,0.012114,-0.0497,1599,0.3937,0,9,False,False,False
B_TD_Def,0.011816,-0.137,206,0.0507,0,10,False,False,False
R_trend_score,0.011595,0.0382,415,0.1022,0,11,False,False,False
B_Sub_Avg,0.011593,-0.0381,1193,0.2938,0,12,False,False,False
B_longest_win_streak,0.011361,-0.0367,818,0.2014,0,13,False,False,False
B_TD_Avg,0.011349,-0.0923,495,0.1219,0,14,False,False,False
R_age,0.011074,-0.153,0,0.0,0,15,False,False,False
B_current_lose_streak,0.010928,0.051,2546,0.6269,0,16,False,False,False
R_avg_TD_pct,0.010857,0.0911,505,0.1244,0,17,False,False,False
win_streak_dif,0.01084,-0.1506,1648,0.4058,0,18,False,False,False
Str_Def_dif,0.010715,0.1006,204,0.0502,0,19,False,False,False
B_layoff_90_180,0.01071,-0.0482,2462,0.6063,0,20,False,False,False
ko_dif,0.010631,0.0677,1391,0.3425,0,21,False,False,False
south_clash,0.010614,0.0231,3921,0.9655,0,22,False,True,False
sig_str_dif,0.010566,-0.0645,132,0.0325,0,23,False,False,False
R_southpaw,0.010563,0.0258,3294,0.8111,0,24,False,True,False
R_avg_SUB_ATT,0.010518,0.0784,1163,0.2864,0,25,False,False,False
Sub_Avg_dif,0.010469,0.0606,526,0.1295,0,26,False,False,False
R_opp_quality,0.010423,0.0106,0,0.0,0,27,False,False,False
R_layoff_gt365,0.010342,-0.0404,3558,0.8761,0,28,False,True,False
avg_td_dif,0.010327,-0.1453,202,0.0497,0,29,False,False,False
R_SLpM,0.01013,0.0799,91,0.0224,0,30,False,False,False
R_losses,0.01012,-0.1285,796,0.196,0,31,False,False,False
B_avg_TD_landed,0.009989,-0.0952,797,0.1963,0,32,False,False,False
age_x_exp_dif,0.009978,-0.1576,10,0.0025,0,33,False,False,False
R_avg_SIG_STR_landed,0.009828,0.0065,166,0.0409,0,34,False,False,False
B_current_win_streak,0.009796,-0.0958,1953,0.4809,0,35,False,False,False
elo_trend_dif,0.009784,0.1163,687,0.1692,0,36,False,False,False
R_avg_SIG_STR_pct,0.009697,0.14,68,0.0167,0,37,False,False,False
B_elo,0.009657,-0.061,0,0.0,0,38,False,False,False
B_opp_quality,0.009464,-0.0196,3,0.0007,0,39,False,False,False
R_Str_Acc,0.009454,0.0996,91,0.0224,0,40,False,False,False
R_layoff_lt90,0.009453,0.0217,3646,0.8978,0,41,False,True,False
B_losses,0.009444,0.069,1081,0.2662,0,42,False,False,False
weight_class_ord,0.009433,0.0082,261,0.0643,0,43,False,False,False
R_Str_Def,0.009229,0.0279,91,0.0224,0,44,False,False,False
height_dif,0.009183,-0.0527,665,0.1638,0,45,False,False,False
loss_dif,0.009159,0.099,729,0.1795,0,46,False,False,False
TD_Avg_dif,0.009133,0.1277,85,0.0209,0,47,False,False,False
win_dif,0.00911,0.079,650,0.1601,0,48,False,False,False
R_ko_finish_rate,0.009064,0.0531,153,0.0377,0,49,False,False,False
age_dif,0.009001,0.1171,325,0.08,0,50,False,False,False
R_last5_finish_rate,0.008987,0.0955,589,0.145,0,51,False,False,False
B_total_title_bouts,0.008961,0.0104,3644,0.8973,0,52,False,True,False
R_layoff_90_180,0.008854,0.0371,2563,0.6311,0,53,False,False,False
B_last5_won,0.008808,-0.1044,21,0.0052,0,54,False,False,False
B_SApM,0.008784,0.1268,80,0.0197,0,55,False,False,False
R_avg_TD_landed,0.008708,0.1036,497,0.1224,0,56,False,False,False
opp_quality_dif,0.008692,0.0231,47,0.0116,0,57,False,False,False
R_elo,0.00865,0.0211,0,0.0,0,58,False,False,False
B_avg_SIG_STR_pct,0.008645,-0.1031,134,0.033,0,59,False,False,False
R_SApM,0.008565,-0.1304,91,0.0224,0,60,False,False,False
R_sub_finish_rate,0.008422,0.0439,474,0.1167,0,61,False,False,False
B_wins,0.008338,0.0048,817,0.2012,0,62,False,False,False
last5_finish_rate_dif,0.008255,0.114,865,0.213,0,63,False,False,False
B_Str_Def,0.008241,-0.1094,80,0.0197,0,64,False,False,False
R_last10_win_rate,0.008238,0.1562,8,0.002,0,65,False,False,False
B_TD_Acc,0.00821,-0.0899,495,0.1219,0,66,False,False,False
R_TD_Acc,0.008192,0.0596,358,0.0882,0,67,False,False,False
TD_Def_dif,0.008164,0.1405,86,0.0212,0,68,False,False,False
B_career_win_rate,0.008084,-0.1168,9,0.0022,0,69,False,False,False
B_avg_SIG_STR_landed,0.008073,-0.0446,297,0.0731,0,70,False,False,False
R_career_win_rate,0.007897,0.1388,8,0.002,0,71,False,False,False
elo_dif,0.0078,0.1022,129,0.0318,0,72,False,False,False
R_age_x_exp,0.007783,-0.1269,0,0.0,0,73,False,False,False
R_TD_Avg,0.007729,0.0827,358,0.0882,0,74,False,False,False
trend_score_dif,0.00762,0.0528,277,0.0682,0,75,False,False,False
B_last3_win_rate,0.007601,-0.0853,180,0.0443,0,76,False,False,False
R_elo_trend,0.007503,0.0726,1103,0.2716,0,77,False,False,False
B_trend_score,0.007485,-0.0341,439,0.1081,0,78,False,False,False
B_ko_finish_rate,0.007471,-0.0514,198,0.0488,0,79,False,False,False
B_last5_finish_rate,0.007438,-0.0613,485,0.1194,0,80,False,False,False
B_last10_win_rate,0.007423,-0.1038,9,0.0022,0,81,False,False,False
R_Sub_Avg,0.007138,0.0446,923,0.2273,0,82,False,False,False
R_longest_win_streak,0.00708,0.0018,367,0.0904,0,83,False,False,False
R_Height_cms,0.007019,0.0336,0,0.0,0,84,False,False,False
B_age_x_exp,0.006984,0.061,0,0.0,0,85,False,False,False
B_cum_fights,0.006982,0.0376,0,0.0,0,86,False,False,False
B_sub_finish_rate,0.006875,-0.001,598,0.1473,0,87,False,False,False
reach_dif,0.006871,-0.0532,509,0.1253,0,88,False,False,False
R_Reach_cms,0.00685,0.0389,0,0.0,0,89,False,False,False
B_layoff_180_365,0.006837,-0.002,2667,0.6567,0,90,False,False,False
B_SLpM,0.006774,-0.125,82,0.0202,0,91,False,False,False
ko_finish_rate_dif,0.006682,0.0822,62,0.0153,0,92,False,False,False
orth_clash,0.006604,-0.0252,1380,0.3398,0,93,False,False,False
R_TD_Def,0.006557,0.0567,144,0.0355,0,94,False,False,False
B_Height_cms,0.006439,-0.0009,0,0.0,0,95,False,False,False
B_layoff_lt90,0.006395,0.0222,3495,0.8606,0,96,False,True,False
last10_win_rate_dif,0.006266,0.1941,581,0.1431,0,97,False,False,False
B_Reach_cms,0.006234,0.0015,1,0.0002,0,98,False,False,False
sub_dif,0.006216,0.0094,1843,0.4538,0,99,False,False,False
R_last5_won,0.006116,0.1379,30,0.0074,0,100,False,False,False
sub_finish_rate_dif,0.006085,0.0327,145,0.0357,0,101,False,False,False
R_cum_fights,0.006078,-0.1101,0,0.0,0,102,False,False,False
B_avg_TD_pct,0.005764,-0.0669,804,0.198,0,103,False,False,False
total_title_bout_dif,0.005553,0.011,3123,0.769,0,104,False,True,False
R_current_win_streak,0.00509,0.0902,1956,0.4817,0,105,False,False,False
R_wins,0.004915,-0.0711,367,0.0904,0,106,True,False,False
R_layoff_180_365,0.004613,-0.0228,2416,0.5949,0,107,True,False,False
R_current_lose_streak,0.003998,-0.0963,2271,0.5592,0,108,True,False,False
last3_win_rate_dif,0.003771,0.1541,1386,0.3413,0,109,True,False,False
lose_streak_dif,0.003459,0.0802,2098,0.5166,0,110,True,False,False
R_total_title_bouts,0.003228,-0.0046,3260,0.8028,0,111,True,True,True
B_layoff_gt365,0.003224,0.0511,3559,0.8764,0,112,True,True,True
B_southpaw,0.0,0.0156,3308,0.8146,0,113,True,True,True
title_bout_bin,0.0,0.0198,3897,0.9596,0,114,True,True,True
