feature,xgb_importance
SApM_dif,0.026591038
SLpM_dif,0.017774262
R_Str_Acc,0.017302249
career_win_rate_dif,0.016514603
B_Str_Acc,0.014156985
last5_finish_rate_dif,0.0128404675
R_Sub_Avg,0.012296606
TD_Def_dif,0.012160542
R_last3_win_rate,0.01194749
B_cum_fights,0.011884786
sig_str_dif,0.011644126
B_age,0.011620647
avg_td_dif,0.011382136
R_layoff_lt90,0.011260137
R_SLpM,0.011189908
B_avg_SIG_STR_pct,0.011185791
B_Sub_Avg,0.011157082
TD_Avg_dif,0.011053952
B_layoff_90_180,0.010976563
R_age,0.010971016
B_TD_Def,0.010870323
R_opp_quality,0.010772886
B_Str_Def,0.010731297
R_last10_win_rate,0.010498926
R_avg_TD_landed,0.010405101
last3_win_rate_dif,0.010222515
B_age_x_exp,0.0101587605
south_clash,0.010144342
weight_class_ord,0.010058296
B_elo_trend,0.0100471005
B_last5_finish_rate,0.010007374
B_TD_Acc,0.009897294
elo_dif,0.009837819
elo_trend_dif,0.0097547555
R_avg_SUB_ATT,0.009684391
R_SApM,0.009651378
R_avg_TD_pct,0.009563868
R_current_win_streak,0.009556745
R_career_win_rate,0.0095020635
R_age_x_exp,0.009441386
R_current_lose_streak,0.0094343005
R_Height_cms,0.009388854
opp_quality_dif,0.009345315
B_SLpM,0.009342659
B_avg_TD_landed,0.00931624
R_last5_finish_rate,0.009309099
R_losses,0.009222346
R_avg_SIG_STR_landed,0.009211941
B_career_win_rate,0.009175774
R_Str_Def,0.00911673
B_avg_SUB_ATT,0.009085042
R_last5_won,0.008973724
B_layoff_lt90,0.008910748
win_streak_dif,0.008893684
B_losses,0.0088922605
height_dif,0.008882602
R_avg_SIG_STR_pct,0.008826813
B_longest_win_streak,0.008818187
trend_score_dif,0.008787092
Str_Def_dif,0.00863041
R_TD_Acc,0.008626167
ko_finish_rate_dif,0.008602535
B_avg_SIG_STR_landed,0.008433933
R_elo_trend,0.008427093
R_southpaw,0.008351752
B_SApM,0.008345057
age_dif,0.008297448
win_dif,0.008270312
B_ko_finish_rate,0.008219769
R_ko_finish_rate,0.00821653
total_title_bout_dif,0.008212897
B_wins,0.008205482
R_TD_Avg,0.008201636
R_TD_Def,0.00818745
B_sub_finish_rate,0.008174643
R_sub_finish_rate,0.00816572
last5_won_dif,0.008091835
lose_streak_dif,0.008015811
ko_dif,0.008014507
B_Reach_cms,0.007912745
B_total_title_bouts,0.007852611
B_elo,0.007850599
R_Reach_cms,0.0078019868
B_Height_cms,0.0077562234
loss_dif,0.007749141
B_avg_TD_pct,0.0077233845
age_x_exp_dif,0.007638946
R_elo,0.00763587
B_opp_quality,0.0075259567
reach_dif,0.0074532037
R_longest_win_streak,0.007366104
R_cum_fights,0.007301949
Sub_Avg_dif,0.007260938
R_trend_score,0.007250848
B_TD_Avg,0.0070730657
B_trend_score,0.007037088
B_last10_win_rate,0.0066003385
sub_finish_rate_dif,0.0063088425
B_current_win_streak,0.0062618433
R_layoff_180_365,0.005507831
B_current_lose_streak,0.005208929
sub_dif,0.0051908214
R_wins,0.005011606
B_last3_win_rate,0.0049316566
R_layoff_gt365,0.004802026
B_layoff_180_365,0.0045524123
B_last5_won,0.004509779
R_layoff_90_180,0.0041920054
orth_clash,0.0033897953
